Temp_ID,Easting,Northing,Tree_Height,Crown_Diameter,Plot_Number,Date
1,476777.142,5429086.959,36.01,11.0,BR01,2025-12-10
2,476785.72,5429090.26,28.22,10.59,BR01,2025-12-10
3,476782.505,5429091.451,29.33,4.3,BR01,2025-12-10
4,476776.159,5429083.127,28.28,2.95,BR01,2025-12-10
5,476776.788,5429089.821,28.57,2.34,BR01,2025-12-10
6,476785.052,5429086.015,26.31,2.59,BR01,2025-12-10
7,476782.751,5429087.208,26.36,3.09,BR01,2025-12-10
8,476786.533,5429098.582,26.91,8.87,BR01,2025-12-10
9,476780.925,5429100.915,28.48,6.72,BR01,2025-12-10
10,476783.8,5429101.367,27.61,3.9,BR01,2025-12-10
11,476776.439,5429102.077,29.73,5.9,BR01,2025-12-10
12,476785.259,5429082.712,24.09,5.34,BR01,2025-12-10
13,476784.695,5429101.575,27.28,2.25,BR01,2025-12-10
14,476781.391,5429081.939,24.65,3.35,BR01,2025-12-10
15,476786.175,5429102.755,26.49,3.93,BR01,2025-12-10
16,476782.587,5429083.506,23.45,3.45,BR01,2025-12-10
17,476769.277,5429092.195,25.83,8.24,BR01,2025-12-10
18,476776.843,5429081.76,23.23,3.24,BR01,2025-12-10
19,476783.107,5429094.09,23.79,2.35,BR01,2025-12-10
20,476785.865,5429096.151,23.39,2.29,BR01,2025-12-10
21,476772.057,5429082.226,23.09,4.37,BR01,2025-12-10
22,476774.225,5429081.652,22.86,1.82,BR01,2025-12-10
23,476779.879,5429094.258,23.74,7.4,BR01,2025-12-10
24,476771.687,5429088.885,23.75,3.35,BR01,2025-12-10
25,476783.167,5429095.926,23.22,3.25,BR01,2025-12-10
26,476771.634,5429086.915,22.98,2.85,BR01,2025-12-10
27,476771.182,5429083.541,20.51,2.3,BR01,2025-12-10
28,476766.814,5429086.208,20.63,7.7,BR01,2025-12-10
29,476769.998,5429085.4,19.71,3.04,BR01,2025-12-10
30,476767.868,5429082.648,19.14,5.04,BR01,2025-12-10
31,476772.007,5429099.587,21.83,5.25,BR01,2025-12-10
32,476771.336,5429101.707,22.12,5.24,BR01,2025-12-10
33,476774.44,5429098.863,21.14,1.6,BR01,2025-12-10
34,476773.636,5429098.202,20.69,2.2,BR01,2025-12-10
35,476772.537,5429098.48,21.02,1.15,BR01,2025-12-10
36,476770.608,5429097.265,20.26,4.69,BR01,2025-12-10
37,476776.472,5429097.575,19.03,4.5,BR01,2025-12-10
38,476773.321,5429091.071,17.63,2.09,BR01,2025-12-10
39,476774.302,5429095.912,17.98,3.53,BR01,2025-12-10
40,476765.061,5429086.788,15.13,1.83,BR01,2025-12-10
41,476774.68,5429092.215,16.29,4.45,BR01,2025-12-10
42,476769.611,5429100.711,15.31,1.75,BR01,2025-12-10
43,476766.693,5429099.09,14.42,6.92,BR01,2025-12-10
44,476765.035,5429091.741,10.41,3.18,BR01,2025-12-10
45,476766.284,5429095.287,11.95,3.01,BR01,2025-12-10
46,476766.82,5429102.787,12.25,2.44,BR01,2025-12-10
47,476764.979,5429097.95,8.97,2.1,BR01,2025-12-10
48,476789.532,5429102.962,7.94,2.5,BR01,2025-12-10
49,476789.02,5429083.019,0.46,2.0,BR01,2025-12-10
