Temp_ID,Easting,Northing,Tree_Height,Crown_Diameter,Plot_Number,Date,Predicted_DBH
1,476777.142,5429086.959,36.01,11.0,BR01,2025-12-10,56.906150000000004
2,476785.72,5429090.26,28.22,10.59,BR01,2025-12-10,40.64084999999993
3,476782.505,5429091.451,29.33,4.3,BR01,2025-12-10,37.26359000000004
4,476776.159,5429083.127,28.28,2.95,BR01,2025-12-10,31.809929999999987
5,476776.788,5429089.821,28.57,2.34,BR01,2025-12-10,33.07201500000007
6,476785.052,5429086.015,26.31,2.59,BR01,2025-12-10,31.24523000000004
7,476782.751,5429087.208,26.36,3.09,BR01,2025-12-10,31.29913500000003
8,476786.533,5429098.582,26.91,8.87,BR01,2025-12-10,32.54624000000001
9,476780.925,5429100.915,28.48,6.72,BR01,2025-12-10,33.082165000000025
10,476783.8,5429101.367,27.61,3.9,BR01,2025-12-10,31.861250000000005
11,476776.439,5429102.077,29.73,5.9,BR01,2025-12-10,37.90949000000005
12,476785.259,5429082.712,24.09,5.34,BR01,2025-12-10,31.526865000000026
13,476784.695,5429101.575,27.28,2.25,BR01,2025-12-10,31.693215000000013
14,476781.391,5429081.939,24.65,3.35,BR01,2025-12-10,31.421505000000028
15,476786.175,5429102.755,26.49,3.93,BR01,2025-12-10,31.356240000000035
16,476782.587,5429083.506,23.45,3.45,BR01,2025-12-10,30.56014000000003
17,476769.277,5429092.195,25.83,8.24,BR01,2025-12-10,31.416140000000027
18,476776.843,5429081.76,23.23,3.24,BR01,2025-12-10,30.448245000000025
19,476783.107,5429094.09,23.79,2.35,BR01,2025-12-10,31.163520000000027
20,476785.865,5429096.151,23.39,2.29,BR01,2025-12-10,30.448245000000025
21,476772.057,5429082.226,23.09,4.37,BR01,2025-12-10,30.448245000000025
22,476774.225,5429081.652,22.86,1.82,BR01,2025-12-10,26.667450000000017
23,476779.879,5429094.258,23.74,7.4,BR01,2025-12-10,31.20543500000001
24,476771.687,5429088.885,23.75,3.35,BR01,2025-12-10,31.163520000000027
25,476783.167,5429095.926,23.22,3.25,BR01,2025-12-10,30.448245000000025
26,476771.634,5429086.915,22.98,2.85,BR01,2025-12-10,28.058195000000026
27,476771.182,5429083.541,20.51,2.3,BR01,2025-12-10,20.676635000000015
28,476766.814,5429086.208,20.63,7.7,BR01,2025-12-10,25.43311499999999
29,476769.998,5429085.4,19.71,3.04,BR01,2025-12-10,20.477500000000017
30,476767.868,5429082.648,19.14,5.04,BR01,2025-12-10,20.877364999999994
31,476772.007,5429099.587,21.83,5.25,BR01,2025-12-10,23.282869999999985
32,476771.336,5429101.707,22.12,5.24,BR01,2025-12-10,24.292204999999985
33,476774.44,5429098.863,21.14,1.6,BR01,2025-12-10,21.780200000000004
34,476773.636,5429098.202,20.69,2.2,BR01,2025-12-10,20.870395000000013
35,476772.537,5429098.48,21.02,1.15,BR01,2025-12-10,20.94882500000001
36,476770.608,5429097.265,20.26,4.69,BR01,2025-12-10,20.629830000000005
37,476776.472,5429097.575,19.03,4.5,BR01,2025-12-10,19.93628000000002
38,476773.321,5429091.071,17.63,2.09,BR01,2025-12-10,15.413259999999978
39,476774.302,5429095.912,17.98,3.53,BR01,2025-12-10,16.201809999999988
40,476765.061,5429086.788,15.13,1.83,BR01,2025-12-10,13.620299999999984
41,476774.68,5429092.215,16.29,4.45,BR01,2025-12-10,13.776109999999996
42,476769.611,5429100.711,15.31,1.75,BR01,2025-12-10,13.745474999999985
43,476766.693,5429099.09,14.42,6.92,BR01,2025-12-10,14.075069999999984
44,476765.035,5429091.741,10.41,3.18,BR01,2025-12-10,10.486014999999977
45,476766.284,5429095.287,11.95,3.01,BR01,2025-12-10,10.167649999999986
46,476766.82,5429102.787,12.25,2.44,BR01,2025-12-10,9.862439999999983
47,476764.979,5429097.95,8.97,2.1,BR01,2025-12-10,7.18041
48,476789.532,5429102.962,7.94,2.5,BR01,2025-12-10,6.8491849999999985
49,476789.02,5429083.019,0.46,2.0,BR01,2025-12-10,6.276144999999998
